job,link,post date,employment type,description,responsibilities,qualifications
Software-Engineer-II-M365-Outlook-MacOS,https://careers.microsoft.com/us/en/job/999083/Software-Engineer-II-M365-Outlook-MacOS,"Mar 24, 2021",Full-Time,"Microsoft's mission is to empower every person and every organization on the planet to achieve more. The newly redesigned Outlook for Mac makes it intuitive and delightful to connect, organize, and get things done on your Mac. The Outlook for Mac team is passionate about the quest to provide innovative ways to focus on what’s most important in your inbox, to manage your time and contacts, to be your most productive self. Come join us as we continue to innovate in Outlook and on the Mac. We are looking for a macOS Developer to join our team here in Suzhou. If you fit the job description below, we want to talk to you.","Architect and build the Outlook for Mac app Make technology and design decisions to deliver a fast, secure and insanely usable Mac app Work with the server team to define needs and APIs that will provide the best user experience, and data team for telemetries Create beautiful UI and intuitive UX that will delight users","Expert level of Objective-C and/or Swift, and experience with macOS internals. Experience of building an entire macOS or iOS app from scratch and ideally a portfolio of apps featured in the App Store.In-depth knowledge about UI transitions, networking and memory/battery efficiencyStrong UI design and development skillsStrong communication skills in English 
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Senior-Factory-Manager,https://careers.microsoft.com/us/en/job/1014422/Senior-Factory-Manager,"Mar 24, 2021",Full-Time,"The Senior Factory Manager is a key position in Manufacturing & Sourcing organization. The primary task is to manage multiple categories / components sub-tier suppliers, covering end to end COS, Quality, SEA, Audit etc. This position’s core focus is managing outsourced manufacturing operation for assigned supplier and it requires effective collaboration with a variety of peer groups across the organization. The candidate should have solid capability on supply chain management and operation management. A demonstrated ability to drive and deliver innovative, effective and timely solutions is important.","• Responsible for all facets of operation at the supplier factory; • Assurance of COS (Continuity of Supply) or CTB(Clear to Build)management; • Manage suppiers' quality to ensure the components meet Microsoft spec, Reliability requirement, safety requirement; • Component EOL management and excess material management; • Perform periodic supplier audit and risk assessment; • Enhance and improve supplier quality awareness; • Participate in supplier qualification in early stage by collaborating with other cross-functional stake holders; • Component qualification includes manufacturing/test process verification; • Work closely with tier one supplier to sustain and improve component quality by implementing on-going monitoring test and conducting FA to drive corrective and preventive action; • Implement Operational Excellence and Lean Manufacturing to drive continuous quality and process improvement; • Lead and drive suppliers' automation; • Participate in design review and be part of the decision-making team.","• Minimum 10 years of solid experience in hardware manufacturing. • Undergraduate or above degree in Engineering, Manufacturing, Project Management or Supply Chain Management. • Excellent oral and written communication skills. • Strong analytic skills with the ability to synthesize complex data sets. Financially articulate and able to present businesses cases to influence stakeholders. • Solid technical background in related area in factory operation management, manufacturing process engineering, and supplier quality management. • Strong Project Management skills required; demonstrated experience with project management methodologies that deliver cost savings. • Ability to identify and solve cost, contractual, process and operational business challenges; experience negotiating with suppliers. • Travel rate less than 30%.
 #MNS
#MFG
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Engineer-2,https://careers.microsoft.com/us/en/job/1010259/Software-Engineer-2,"Mar 24, 2021",Full-Time,"Microsoft/MSN weather is one of the top content vertical in MSN and is powering millions of active users worldwide. Our goal is to facilitate worldwide end users of work and daily life with the most accurate weather forecast information and the best weather map experience. We are looking for rich experienced soft engineers to join, with the passion and enthusiasm to build a world class product serving for millions of users. With this opportunity, you can work together with the global world top engineer team, deep into the service stack at each level of design/implementation and drive final user growth.","As a software engineer, you should be able to design, implement critical backend component like data analysis, ingestion, publishing and serving. You should also be able to work with PM for quick prototype.","1. BS/MS degree in computer science or related field
2. 5+ years of experience building, deploying, and supporting large scale applications and services
3. Excellent problem solving, design, coding, and debugging skills
4. Strong C/C++/C#/Java coding skills
5. Strong cross-group collaboration skills
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Engineer-II-M365-Search,https://careers.microsoft.com/us/en/job/1015313/Software-Engineer-II-M365-Search,"Mar 25, 2021",Full-Time,"Millions of people use Office 365 every day. Exchange has taken the mission of winning our users’ communications all up by offering the best Inbox, People, Groups, and Calendar experiences in the market.
 You will be working with the search team in Exchange that is driving the overall search experience for Office 365. The team will own and deliver E2E search experience across various scenarios.
 If you enjoy working on a core technology, this is a fantastic opportunity to build solutions and user experiences that will be used by hundreds of millions of people worldwide in the cloud, as well as on-premise in the largest organizations on this planet. We are looking for a smart SDE who is passionate about building highly-scalable backend software and who can demonstrate strong technical leadership and collaboration skills; an engineer who can come up with creative solutions to difficult technical problems and help an entire team deliver.
 Our development processes are agile. It is only a few hours before your code makes it to the official build and is consumed by hundreds of other engineers. The engineers you'll be working with are constantly looking for new technology and tools to increase productivity of the whole team. Our back-end is mostly implemented in .NET technologies and our search backend is implemented on top of FAST technology.","You will have chance 
To ensure all the content including text, attachment, images etc. is indexed properly and accurately. This includes using Open Source components for document understanding as well as cognitive ML models for image and other media types.
To deliver content parsing understanding quality in the matter of tens of milliseconds to fulfill the need for real-time/near real-time pipeline requirement.
To design and deliver multi-prone infrastructure to balance the need of latency requirement and index freshness
To understand and drive metrics that can measure user satisfaction on query results and improve on it
To understand and deal with real world issues by being in the on-call rotation","BS/MS in CS, engineering, or related field
3+ years experience in object-oriented programming 
Experience in building scalable and high-performance server applications
Strong technical problem-solving skills
Passion about technology and able to get things done. 
Good communication skills and cross-team collaboration skills. 
Hands on experience in large-scale distributed or cloud system development is a plus
Background or interested in search technology or machine learning is a plus
  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Development-Engineer-all-level-MSNIA,https://careers.microsoft.com/us/en/job/948829/Software-Development-Engineer-all-level-MSNIA,"Dec 14, 2020",Full-Time,"MSN Access team is responsible for maximizing the profitability of the MSN Dial-Up and MSN Premium/Homepage by maximizing customer retention, maintaining the core value proposition of the products over time, and sustained engineering to provide user secure and reliable internet access, mail, and browsing experiences, also a solution center with the opportunity to identify and resolve their issues using CSS managed forums and certified solutions. We are a team full of high caliber, talented, passionate developers from different regions around world. By leveraging modern client and font-end development techniques, we are working on a fast-cycle to delight our users, and meanwhile optimize reliability, engagement, and retention for our many web products like MSN.com, MSN Solution Center. Now we are looking for a strong developer to join our fun and challenging journey. As a member of the MSN Access team, you'll have the opportunity to shape the design of products, and have a direct impact on various products that millions of users use every day. You will learn and research many cutting edge methods in modern web techniques. You will have enormous resources of Microsoft at your disposal and close collaborations with great teams and colleagues in world-wide. At the same time, you have the right environment and strong support to drive your favorite features to solution. We are an extremely agile team, and we move very fast from ideas to experimentation, development and deployment through continuous releases throughout the year.","Implement MSN explorer client (including Chromium based web browser implementation, compatibility with Windows OS release, security updates etc.) and release thoughtful features.Improve MSN internet access core services, web sites and partner interfaces.Closely work with Devs and PMs in different countries to achieve fast collaboration and agile development.","We are looking for cream of the crop - motivated engineers with excellent architecture, design, coding, and debugging skills.
B.S. in Computer Science or related required.
Solid coding skill and familiar with JS/Typescript/Java.
Great design, problem solving, and data analysis skills, with demonstrated passion for quality, performance, and engineering excellence.
At least 1 year of industry experiences in frontend (HTML/CSS/JS/React, etc.) or website service developing is preferred.
Motivated and able to work independently as well in a collaborative team setting to research innovative solutions to challenging technical/business problems.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Engineer-M365-Data-Platform,https://careers.microsoft.com/us/en/job/1014544/Software-Engineer-M365-Data-Platform,"Mar 25, 2021",Full-Time,"M365 is key to Microsoft’s cloud strategy and we are looking for a highly driven developer to drive our strategies and investments in making M365 the most reliable and consistently amazing service in the world.
The primary focus of this role is to design and build a modernizing data platform to process the data generated in M365.
To reach this goal is not easy – some of our services have over a hundred million active customers. Our largest enterprise customers expect a high bar of quality and compliance with each of our changes. At the same time, we won’t be alone in our efforts. We will be leveraging leading edge technologies provided by Azure data factory, as well as our partner teams within M365. What is certain though, is the immense potential impact in transforming the way M365 works.
Through the breadth of our work you will have opportunities to work with a broad spectrum of services, as well as investigate and integrate industry leading technologies in the space of continuous integration / continuous delivery, secrets and compliance, deployment and resourcing. You will be challenged by conflicting eco systems and differing support. You will be challenged by fast changing developments in available technology. You will be challenged by partners clinging to tried-and-true workflows. If these challenges make you want to step up and rise to meet them, you just might be our ideal software engineer.","In this position, you will build the tools, technologies, and services that enable engineering for M365. You will be responsible for building large-scale services as well as ensuring that the day-to-day experience of engineers are both efficient and empowering.","3+ years of software development experience in the commercial software industry
BS in Computer Science or Engineer or equivalent industry experience
Prefer experience with C#, C++, PowerShell, Web Services
A working, understanding of agile practices a plus
Build and/or infrastructure experience a plus
Experience on Big Data is a plus
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Engineer-II-M365-Search,https://careers.microsoft.com/us/en/job/1015315/Software-Engineer-II-M365-Search,"Mar 25, 2021",Full-Time,"Millions of people use Office 365 every day. Exchange has taken the mission of winning our users’ communications all up by offering the best Inbox, People, Groups, and Calendar experiences in the market.
 You will be working with the search team in Exchange that is driving the overall search experience for Office 365. The team will own and deliver E2E search experience across various scenarios.
 If you enjoy working on a core technology, this is a fantastic opportunity to build solutions and user experiences that will be used by hundreds of millions of people worldwide in the cloud, as well as on-premise in the largest organizations on this planet. We are looking for a smart SDE who is passionate about building highly-scalable backend software and who can demonstrate strong technical leadership and collaboration skills; an engineer who can come up with creative solutions to difficult technical problems and help an entire team deliver.
 Our development processes are agile. It is only a few hours before your code makes it to the official build and is consumed by hundreds of other engineers. The engineers you'll be working with are constantly looking for new technology and tools to increase productivity of the whole team. Our back-end is mostly implemented in .NET technologies and our search backend is implemented on top of FAST technology.","You will have chance 
To ensure all the content including text, attachment, images etc. is indexed properly and accurately. This includes using Open Source components for document understanding as well as cognitive ML models for image and other media types.
To deliver content parsing understanding quality in the matter of tens of milliseconds to fulfill the need for real-time/near real-time pipeline requirement.
To design and deliver multi-prone infrastructure to balance the need of latency requirement and index freshness
To understand and drive metrics that can measure user satisfaction on query results and improve on it
To understand and deal with real world issues by being in the on-call rotation","BS/MS in CS, engineering, or related field
3+ years experience in object-oriented programming 
Experience in building scalable and high-performance server applications
Strong technical problem-solving skills
Passion about technology and able to get things done. 
Good communication skills and cross-team collaboration skills. 
Hands on experience in large-scale distributed or cloud system development is a plus
Background or interested in search technology or machine learning is a plus
  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Senior-Sourcing-Engineer,https://careers.microsoft.com/us/en/job/1014703/Senior-Sourcing-Engineer,"Mar 25, 2021",Full-Time,"Successful Buysell capability implementation for the business with our vendor comppanies through the collaboration with cross functional team, then run the operations","Co-work with cross functional team including Sourcing, FM, MM, Dev, IT, Finance and High-level management for decisions on preferable purchase mode.
Act as BuySell process owner and provide needed support to cross functional team including but not limited to process training, risk heads up and mitigating, information sharing etc.
Key check point and execution party to ensure the smooth implementation of sourcing and planning strategies.
Responsible for system set up after Buy/Sell decision is made.
Cooperate with IT team and support with MSFT and CMs/XDMs system readiness
Provide BuySell process training to CMs/XDMs and Suppliers and ensure operation readiness
Conduct closed-loop process trial run prior to actual go live
Regular implementation progress sharing to key stake holders till BuySell full launch
Regular status review sessions with key stake holders after launch
Build up virtual team with CMs/XDMs and co-work for supply allocation, forecast, Inventory management, Logistic, Cost, RMA, Shortage and Excess handling, training etc.
Suppliers collaboration including Forecast, Order, On time delivery, Logistic related, Price adjustment, RTV (Return to Vendor), Shortage/excess handling, Supplier training, etc.
Lead QBR with key CMs/XDMs/Suppliers and Forwarders to keep continuous performance improvement
Co-work with GSM and sourcing team to ensure the material availability and eliminate excess/obsolete risk
Collaborate with Material managers, GSM, sourcing and FMs on critical material shortage, push for improvement and execute the right allocation decision
Support Microsoft finance AP/AR","A strategic thinker with a proven track record of implementing and delivering complex supply chain solutions across multiple geographies
Ability to develop efficient work processes for complex projects involving many groups, across multiple geographies and effectively coordinate, implement and maintain those processes
Demonstrated experience interacting with senior management and executives (internally & externally) with the ability to effectively communicate and present to all levels of management
Deals well with tough political situations and are proactive in building and maintaining a network of effective relationships
Readily and easily switches gears in response to unexpected events and circumstances
Analyzes, explains and draws logical conclusions based on complex and ambiguous data from multiple content areas  
Qualifications:
Procurement and Supply Chain management background with 10+ years of experience in High-tech manufacturing, Consumer electronics
Significant experience in a variety of manufacturing and/or planning environments such as
Demand/Supply Planning
Order management in E2E supply chain
CM/XDM Performance management
Continuity of Supply management
Inventory management
Logistics management
Certificates of Procurement (e.g. C.P.M.), Supply chain management (e.g. CPSM, CPIM), Project Management (e.g. PMP), SAP would be Plus.
Excellent communication (Verbal and Written), Interpersonal and conflict resolution skills
Capable of pressure handling and prioritization
  #MNS
#MFG
  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Senior-Program-Manager-APS,https://careers.microsoft.com/us/en/job/986100/Senior-Program-Manager-APS,"Feb 18, 2021",Full-Time,"Have you ever thought about how you might improve one of the apps that come with Windows? Do you want to reach and have a positive impact on hundreds of millions of users everyday with the products and features that you help create? If so, come join us! We would love your help building amazing new app experiences for our customers. 
 We are the Apps, Partners, and Store (APS), a part of the Windows + Devices (W+D) engineering organization. Our goal is to deliver best-in-class app experiences that promote happiness and productivity on Windows while partnering with ISVs (Independent Software Vendors) to showcase their experiences on Windows. Customer-centric and data-driven at heart, we focus on apps and services that fulfill the most essential core needs of our customers. You will be a member of a growing product team that builds and ships a portfolio of well-crafted preinstalled native apps that showcase the best of the Windows platform and Fluent design. ","You should be a customer- and data-driven individual who can guide software engineers to build new products and features. We welcome your innovative ideas and fresh perspectives to strengthen our growth mindset culture that is grounded in customer obsession and diversity and inclusion. In this role, you will: 
Drive product and feature development as part of multi-disciplinary feature crews 
Work iteratively with engineering teams to define and refine product specs 
Leverage user research and data insights to make product decisions 
Partner with teams across Microsoft to align on clear requirements and deliverables 
Connect with customers to understand their needs and learn what challenges they face 
Define, track, and report on the execution of product deliverables ","Required: 
Minimum 5 years of experience as a program or product manager (or equivalent) building and managing consumer software products 
At least a bachelor’s degree in Computer Science, related discipline, or equivalent software development experience 
Must exhibit exceptional teamwork and values that foster a positive team culture 
Preferred: 
Experience with Azure DevOps (or similar) for managing projects and teams 
Ability to coordinate and collaborate with teams across different time zones and geographies 
Ability to deal with ambiguity and prioritization across multiple partners and projects 
Experience managing or contributing to open source projects is a nice-to-have 
Experience building and shipping Windows apps is a nice-to-have 
Familiarity with Microsoft technologies is a nice-to-have 
   Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Senior-Program-Manager-M365-AGC-sovereign-cloud-standardization,https://careers.microsoft.com/us/en/job/963743/Senior-Program-Manager-M365-AGC-sovereign-cloud-standardization,"Feb 15, 2021",Full-Time,"The M365 core substrate service delivery platform R&D engineering team focuses on providing modern experiences and systems for Engineers and Data Scientists from across Microsoft that allow rapid, safe creation and management of high quality, intelligent productivity services to be built on.",We looking for a Senior level PM who can autonomously drive some of the engineering configuration service  initiatives with us. Preferably someone with a strong engineering background who knows about configuration management and can bring their own perspectives regarding configs and flighting,"• Strong technical program manager experience (at least 10 years) with a proven track record in developing and shipping software or services; experience with shared platforms or services is preferred. • Excellent analytics, communication, presentation, and negotiation skills • Familiarity in working with (or building) large scale configuration management systems • Self-motivated, detail-oriented individual with a strong work ethic • Demonstrated collaboration skills that require influencing peers and leaders to embrace best practices and align to engineering goals • Ability to thrive in a fast-paced environment working with diverse engineering organizations across Microsoft • Comfortable with ambiguity with ability to drive towards clarity for positive impact • Entrepreneurial mindset with a bias for action and drive for results • Passion for mentoring and coaching
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Senior-Principal-Software-Engineer-Manager-M365-Validation-Framework,https://careers.microsoft.com/us/en/job/968080/Senior-Principal-Software-Engineer-Manager-M365-Validation-Framework,"Feb 19, 2021",Full-Time,"The Opportunity More than ever before cloud services are transforming the way word does business. As you’ve probably heard, Microsoft is committed to being cloud – first, and with several multi-billion dollar services already serving the needs of individuals and organizations well over the globe, the opportunity to shape the future has never been greater! Microsoft’s enterprise cloud services are some of the most rapidly growing and strategically important segments in our company.  
The Office 365 Enterprise cloud team runs a mission critical cloud service for many of the largest organization in the world, including many fortune 500 companies as well as federal, state and local government organizations globally. We provide distributed, scalable, highly reliable service for millions of people. As you might expect, customers of this nature have the highest expectations around enterprise features, regulatory compliance, reliability and availability and of course about the security of our service.  ","We’re looking for a fearless and innovative technical leader who’s passionate about increasing Office's daily and monthly usage and retention to join us and drive us to the next level of business success by getting the sapps that matter to people at work, at school and at home integrated with our platform, both on the cloud and on mobile.  
 Our engineering team tackles a wide variety of problems, from networking to advanced graphics handling to leading edge UI design to insight mining from telemetry on Android. The candidate can expect to build a wide range of skills and experiences in this role. The candidate should have experience in all phases of the development cycle, preferably on large-scale commercial products including collaborating across the groups and cross discipline with Design, PM and our partner teams.  
 This leader is expected to lead the team with an approach that embraces and extends the industry best practices for software engineering.The team today is agile, shipping monthly, eager to learn, and willing to try new ways of working. The Engineering Manager will be expected to lead the team towards a solid vision of the agile and cross-platform engineering, be responsible for a solid architecture and amazing performance and quality, manage a great team, and remove any and all obstacles that are preventing the team from delivering as fast as they can. He must be self-driven, proactive, results-oriented and have the ability to work with minimal ongoing direction  
  ","Qualifications  
BS degree in computer science, engineering or equivalent degree 
8+ years of software development experience with C, C++ or Java
Proven track record as a strong and effective engineering leader -managing and growing successful teams
Strong customer focusand passion for doing the right thing for the customer 
Proven ability to establish trusted, effective relationships across diverse sets of stakeholders
Excellent communication skills and cross group collaboration
Ability to quickly pick up existing concepts and employ new techniques and strong problem solving 
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Engineer-2-Enterprise-Security,https://careers.microsoft.com/us/en/job/980779/Software-Engineer-2-Enterprise-Security,"Feb 25, 2021",Full-Time,"Hate Auth prompts? Come fix them! The Microsoft Edge Identity Team is focused on enabling seamless identity powered experiences. By integrating identity holistically into Edge, the team allows for numerous scenarios to be enhanced by user identity while preventing a proliferation of authorization prompts and focusing on Single Sign On (SSO). Because Microsoft Edge works across platforms, you’ll have the chance to find scalable ways to make this work on all of these platforms. You will expose identity to users in an intuitive manner.","You will work on enabling fluid identity scenarios that run across multiple platforms, from Windows to MacOS to Mobile to Linux! You’ll get a chance to measure the real-world impact of these changes by seeing how often users needlessly are prompted for credentials, and help define and implement protocols that eliminate that need. You’ll work in a variety of codebases to solve this problem, and have a chance to work with numerous partner teams to solve these problems. It’s a chance to work on a modern codebase with a fast iteration loop. You will get a chance to work in a number of languages, but a lot of the code is portable C++.","• 3+ years of experience in building commercial software
• Must have 2+ years experience in C/C++ or modern programming languages with solid engineering practices
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Senior-Software-Engineer-Microsoft-Edge%EF%BC%89,https://careers.microsoft.com/us/en/job/973025/Senior-Software-Engineer-Microsoft-Edge%EF%BC%89,"Feb 25, 2021",Full-Time,"We are looking for a [SWE/Program Manager] to join our Microsoft Edge WebView2 team. Microsoft Edge represents a great growth opportunity for the company. We adopted the Chromium open-source project in the development of Microsoft Edge to create better web compatibility for our customers and reduce fragmentation for all web developers. With the first stable version that was first released in January 2020, we built a strong foundation that has been well received by the community. We are now on a journey to help deliver on unmet customer needs while contributing to the Chromium OSS project, in a way that helps us move the broader web forward. The Edge Developer Experiences team is chartered to define and build the cross-platform web application story and developer tools for Microsoft Edge. An area this team focuses on is hybrid web applications that allow developers to take advantage of the best of what web and native technologies have to offer, in stitching together experiences for their customer needs. We respect choice in application technologies and already offer solutions for Win32, .NET and WinUI3.0 developers. We work closely with Windows, Office, Visual Studio, and other partner teams across the company, as well as the broader industry, to build the platform and tools that empower developers to build great end-to-end web-based experiences for end users. You can learn more about what our team is up to in our blog https://blogs.windows.com/msedgedev/! As we bring new members into our team, we value individuals who are:
• Focused on quality and delivering rapid success for customers
• Creative, data driven and can incorporate industry and competitive knowledge to tackle complex problems
• Self-starters who can think holistically and work independently
• Able to operate effectively with ambiguity
• Representatives of the Microsoft cultural attributes and leadership principles","As part of the Microsoft Edge team, you will work on making the web platform available to developers in their native applications. Together we will:
• Develop new capabilities in Microsoft Edge WebView2 with a focus on needs of our customers
• Partner with program managers, designers, and data scientists to deliver a product that delights developers
• Foster a collaborative relationship with partner teams and the developer community","• Web technologies, including HTML, CSS, and JavaScript
• Windows app development
• Multi- threaded application development
• Mac or Linux OS development experience
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Principal-Software-Engineering-Manager-Microsoft-Edge,https://careers.microsoft.com/us/en/job/973009/Principal-Software-Engineering-Manager-Microsoft-Edge,"Jan 28, 2021",Full-Time,"We are looking for a SWE Manager to join our Microsoft Edge WebView2 team. Microsoft Edge represents a great growth opportunity for the company. We adopted the Chromium open-source project in the development of Microsoft Edge to create better web compatibility for our customers and reduce fragmentation for all web developers. With the first stable version that was first released in January 2020, we built a strong foundation that has been well received by the community. We are now on a journey to help deliver on unmet customer needs while contributing to the Chromium OSS project, in a way that helps us move the broader web forward. The Edge Developer Experiences team is chartered to define and build the cross-platform web application story and developer tools for Microsoft Edge. An area this team focuses on is hybrid web applications that allow developers to take advantage of the best of what web and native technologies have to offer, in stitching together experiences for their customer needs. We respect choice in application technologies and already offer solutions for Win32, .NET and WinUI3.0 developers. We work closely with Windows, Office, Visual Studio, and other partner teams across the company, as well as the broader industry, to build the platform and tools that empower developers to build great end-to-end web-based experiences for end users. You can learn more about what our team is up to in our blog https://blogs.windows.com/msedgedev/! As we bring new members into our team, we value individuals who are:
• Focused on quality and delivering rapid success for customers
• Creative, data driven and can incorporate industry and competitive knowledge to tackle complex problems
• Self-starters who can think holistically and work independently
• Able to operate effectively with ambiguity
• Representatives of the Microsoft cultural attributes and leadership principles","As part of the Microsoft Edge team, you will work on making the web platform available to developers in their native applications. Together we will:
• Manage and grow an engineering team dedicated to quality, customer and innovation as we uphold Microsoft’s cultural values
• Develop new capabilities in Microsoft Edge WebView2 with a focus on needs of our customers
• Partner with program managers, designers, and data scientists to deliver a product that delights developers
• Foster a collaborative relationship with partner teams and the developer community","6+ years of industry/professional software development experience
3+ years of C, C++, C#, or Java
2+ years of people management experience
Web technologies, including HTML, CSS, and JavaScript
Windows app development
Multi- threaded application development
Mac or Linux OS development experience
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
